municipality,county_council_district,council_representative,senatorial_district,legislative_district,congressional_district,council_of_government,police_chief,fire_chief,ems_agency,sanitary_authority,school_district,contact_name,contact_address,contact_phone,median_property_value,certified_taxable_value,certified_exempt_value,certified_purta_value,certified_all_real_estate,square_miles,muni_code,school_code
Aleppo Township,2,Suzanne Filiaggi,37,44,12,Quaker Valley,Ohio Township Police,William Davis,Quaker Valley Ambulance,NA,QUAKER VALLEY,"Gwen Patterson, Manager","100 North DriveSewickley, PA 15143",412-741-6555,137600,161153115,84333100,0,245486215,1.63,901,32
Borough of Aspinwall,3,Anita Prizio,38,21,12,Allegheny Valley North,David Nemec,Gene Marsico,Foxwall EMS,Alcosan,FOX CHAPEL AREA,"Melissa Lang  O'Malley, Manager","217 Commercial AvenuePittsburgh, PA 15215",412-781-0213,193050,246450338,9456700,3500,255910538,0.5,801,17
Borough of Avalon,1,Jack Betkowski,42,20,14,Quaker Valley,Thomas S. Kokoski,Dave Meyer,Northwest EMS,Alcosan,NORTHGATE,"Lorraine Makatura, Borough Manager","640 California AvenuePittsburgh, PA 15202",724-761-5820,83800,195480330,18022900,41400,213544630,0.6,802,29
Borough of Baldwin,6,John F. Palmiere,45,"36, 38",14,South Hills Area,Michael Scott,Three Volunteer Fire Chiefs,Police Dept. and Baldwin EMS,"Alcosan, Pleasant Hills Authority",BALDWIN-WHITEHALL,"Robert Firek, Interim Borough Manager","3344 Churchview AvenuePittsburgh, PA  15227",412-884-0803,104900,969160296,83167650,1116838,1053444784,5.44,877,4
Baldwin Township,6,John F. Palmiere,42,42,14,South Hills Area,Terrence O'Brien,Shawn Brannon,Medical Rescue Team South,Alcosan,BALDWIN-WHITEHALL,"Mary McGinley, Secretary","10 Community Park DrivePittsburgh, PA  15234",412-341-9597,105700,113600900,3143900,41900,116786700,1.02,902,4
Borough of Bell Acres,2,Suzanne Filiaggi,37,44,12,Quaker Valley,Kristoffer Korol,Richard Kulbacki Jr.,Quaker Valley Ambulance,NA,QUAKER VALLEY,"Lisa Fleming, Borough Manager","1151 Camp Meeting RoadSewickley, PA  15143",412-741-5448,154700,200303533,18271900,11400,218586833,5.38,883,32
Borough of Bellevue,13,Jordan Botta,42,20,14,Quaker Valley,Matthew Sentner,"Bill Hartman, Jr.",Northwest EMS,Alcosan,NORTHGATE,"James Kelly, Manager","537 Bayne AvenuePittsburgh, PA 15202",412-766-6164,99600,330402213,45468900,153900,376025013,0.98,803,29
Borough of Ben Avon,1,Jack Betkowski,42,45,14,Quaker Valley,"Avalon Police Dep't, Chief Thomas Kokoski","Emsworth Fire Co., Chief James Kohl",Northwest EMS,Alcosan,AVONWORTH,"Terrie Patsch, Secretary","7101 Church AvenuePittsburgh, PA  15202",412-835-5243,179800,137301458,4394000,28800,141724258,0.4,804,2
Borough of Ben Avon Hts.,1,Jack Betkowski,37,45,14,NA,Ohio Township Police,Avalon Borough Fire Dept.,Northwest EMS,Alcosan,AVONWORTH,"Denise Raves, Secretary/Treasurer","6 Lynton LanePittsburgh, PA 15202",724-731-2300,245300,42620100,336800,0,42956900,0.18,805,2
Municipality of Bethel Park,5,Dan Grzybek,37,"39, 40",18,South Hills Area,David Arnold,David Gerber,Tri-Community South EMS,"Alcosan, Bethel Park Municipal Authority",BETHEL PARK,"Kristen Denne, Municipal Manager","5100 W. Library AvenueBethel Park, PA  15102",412-831-6800,150300,2570885650,346890450,1641400,2919417500,11.92,876,5
Borough of Blawnox,7,Nicholas Futules,38,32,14,North Hills,George Bucha,George McBriar,Parkview EMS,Alcosan,FOX CHAPEL AREA,"Kathy Ulanowicz, Borough Manager","376 Freeport RoadPittsburgh, PA  15238",412-499-2086,92100,78667750,11448000,17100,90132850,0.39,806,17
Borough of Brackenridge,7,Nicholas Futules,38,33,14,Allegheny Valley North,Tarentum Borough Police,Richard Jones,Eureka VFD,NA,HIGHLANDS,"Chad Edwards, Manager","1000 Brackenridge AvenueBrackenridge, PA  15014",724-904-7455,50900,88510660,20403500,44000,108958160,0.52,807,21
Borough of Braddock,8,Michelle Naccarati-Chapkis,45,34,14,Turtle Creek Valley,"Guy Collins, Acting",Thomas Petrovic,Priority One EMS,Alcosan,WOODLAND HILLS,"Debra Brown, Manager","415 Sixth StreetBraddock, PA  15104",412-271-1018,4300,44621850,19999900,318800,64940550,0.56,808,9
Borough of Braddock Hills,10,DeWitt Walton,43,34,14,Steel Rivers COG,Dean Helinski,Anthony Rydzak,Woodland Hills EMS,Alcosan,WOODLAND HILLS,"Cheryl Sorrentino, Secretary","1300 Brinton RoadPittsburgh, PA  15221",724-731-2300,51050,74320095,15058900,0,89378995,1.12,872,9
Borough of Bradford Woods,2,Suzanne Filiaggi,38,28,12,NA,Northern Regional Police Dept.,Vince Canella,McCandless Franklin Park,NA,NORTH ALLEGHENY,"Natalie Thiess, Borough Manager","P.O. Box 1634908 Wexford Run RoadBradford Woods, PA  15015",724-731-2300,252550,142869053,16823800,60300,159753153,0.93,809,27
Borough of Brentwood,6,John F. Palmiere,45,36,14,South Hills Area,Adam Zeppuhar,Dan Nieczgorski,Brentwood EMS,Alcosan,BRENTWOOD,"George Zboyovsky, PE, Manager","3624 Brownsville RoadPittsburgh, PA  15227",412-882-5383x1117,86200,429676610,50011700,21500,479709810,1.43,810,6
Borough of Bridgeville,12,Robert Palmosina,37,46,18,Char-West,Chad King,Raymond Costain,South Bridge EMS,Alcosan,CHARTIERS VALLEY,"Joe Kauer, Manager","425 Bower Hill RoadBridgeville, PA  15017",412-221-6055,98800,262654986,17382400,459600,280496986,1.11,811,8
Borough of Carnegie,4,Patrick J. Catena,42,45,18,Char-West,Jeffrey L. Kennedy,Todd Scott,Carnegie EMS,Alcosan,CARLYNTON,"Stephen Beuter, Borough Manager","One Veterans WayCarnegie, PA  15106",412-835-5243,87200,389640628,33422200,828700,423891528,1.3,812,7
Borough of Castle Shannon,6,John F. Palmiere,42,42,18,South Hills Area,Kenneth Truver,Bill Reffner Sr.,Medical Rescue Team South,Alcosan,KEYSTONE OAKS,"Loretta Miller, Assistant Manager","3310 McRoberts RoadPittsburgh, PA  15234",412-885-9260,102300,424643580,21224600,49600,445917780,1.51,813,22
Borough of Chalfant,7,Nicholas Futules,43,34,14,Turtle Creek Valley,Forest Hills Police,Ray Wroblewski,Woodland Hills EMS,Alcosan,WOODLAND HILLS,"Kirsten Schwoegl, Secretary","144 Lynnwood AvenueEast Pittsburgh, PA  15112",412-824-3283,53900,25210762,863900,0,26074662,0.16,814,9
Borough of Cheswick,7,Nicholas Futules,38,33,14,Allegheny Valley North,NA,Lindsay Sandusky,Lower Valley Ambulance Service,NA,ALLEGHENY VALLEY,"Andrew Bock, Secretary","220 South Atlantic AvenueP.O. Box 235Cheswick, PA  15024",724-275-7722,106700,107538600,3161100,29900,110729600,0.52,815,1
Borough of Churchill,7,Nicholas Futules,43,34,14,Turtle Creek Valley,Ronald M. Akerley,Ralph G. Zatlin,Woodland Hills EMS,Alcosan,WOODLAND HILLS,"Alexander Graziani, Manager/Secretary","2300 William Penn HighwayPittsburgh, PA  15235",412-241-7113,150600,254851350,52490525,90500,307432375,2.26,816,9
City of Clairton,6,John F. Palmiere,45,35,14,Steel Rivers COG,Robert Hoffman,John Lazur,Clairton VFD,NA,CLAIRTON,"Howard J. Bednar, Manager","551 Ravensburg BoulevardClairton, PA  15025",412-233-8113,216002575,142757741,39592800,256900,182607441,2.97,200,10
Collier Township,4,Patrick J. Catena,37,46,18,Char-West,Craig Campbell,Three Volunteer Fire Chiefs,Kirwin/Rennerdale VFC,Alcosan,CHARTIERS VALLEY,"George Macino, ManagerDana Slizik, Assistant Manager","2418 Hilltop RoadPresto, PA  15142",412-835-5243,151100,1125368459,181558200,642400,1307569059,12.78,905,8
Borough of Coraopolis,4,Patrick J. Catena,42,45,17,Char-West,Alan DeRusso,"Charles E. Spencer, Jr.",Valley Ambulance,NA,CORNELL,"Thomas A. Cellante, Jr., Manager","1012 Fifth AvenueCoraopolis, PA  15108",412-835-5243,61700,220790600,37821300,332600,258944500,1.36,817,11
Borough of Crafton,12,Robert Palmosina,42,27,14,Char-West,Mark Sumpter,Mike Crown,Northwest EMS,Alcosan,CARLYNTON,"Rachel J. Susko, Manager",100 Stotz AvenuePittsburgh PA  15205,412-835-5243,104300,279142797,20845900,436600,300425297,1.14,818,7
Crescent Township,1,Jack Betkowski,37,44,18,Char-West,Frank Marks,Andrew Tomer,Valley Ambulance,Moon Twp Municipal Authority,MOON AREA,"Kristin Farrell, Manager","225 Spring Run RoadCrescent, PA  15046",724-457-8100 ex. 100,97500,141138070,4964900,579000,146681970,2.3,906,25
Borough of Dormont,5,Dan Grzybek,42,42,14,South Hills Area,Mike Bisignani,Jeffrey Stakich,Medical Rescue Team South,Alcosan,KEYSTONE OAKS,"John P. Stinner, Manager","1444 Hillsdale AvenueSuite # 10  Pittsburgh, PA  15216",412-561-8900,115100,421117537,63238000,0,484355537,0.76,819,22
Borough of Dravosburg,9,Robert J. Macey,45,38,14,Steel Rivers COG,McKeesport Police,Wayne Cosgrove,McKeesport Ambulance Rescue Services,NA,MCKEESPORT AREA,"Brenda Honick, Secretary","226 Maple AvenueDravosburg, PA  15034",412-469-0743,53200,51082590,4083400,290400,55456390,0.99,820,23
City of Duquesne,9,Robert J. Macey,45,35,14,Steel Rivers COG,Thomas Dunlevy,Frank Cobb,Duquesne EMS,NA,DUQUESNE AREA,"Che A. Sayles, Manager","12 South Second StreetDuquesne, PA  15110",412-466-8545,19250,105546570,32240150,913300,138700020,1.88,300,13
East Deer Township,7,Nicholas Futules,38,33,14,Allegheny Valley North,Allegheny Valley Regional Police Department,Jack Bailie Jr.,East Deer VFD,NA,DEER LAKES,"Chrystal M. Carmen, Manager","927 Freeport RoadCreighton, PA  15030",724-274-5748,49900,71380690,6104700,69700,77555090,2.15,907,12
Borough of East McKeesport,8,Michelle Naccarati-Chapkis,45,25,14,Turtle Creek Valley,"Russell A. Stroschein, Jr.",Shane Spielvogle,Eastern Area Prehospital Services,"Alcosan, MACM",EAST ALLEGHENY,"Connie Rosenbayger, Administrator","907 Florence Ave.East Mckeesport, PA 15035",412-829-7991,51100,65697612,2586000,1100,68284712,0.42,821,14
Borough of East Pittsburgh,8,Michelle Naccarati-Chapkis,45,25,14,Turtle Creek Valley,PA State Police,River's Edge VFD,Priority One EMS,Alcosan,WOODLAND HILLS,"Seth Abrams, Manager","813 Linden AvenueEast Pittsburgh, PA  15112",412-823-4046,28700,39129057,7034900,80700,46244657,0.4,822,9
Borough of Edgewood,10,DeWitt Walton,43,34,14,Turtle Creek Valley,Robert Payne,Steven Halle,Eastern Area,Alcosan,WOODLAND HILLS,"Rob Zahorchak, Manager","Two Race StreetPittsburgh, PA  15218",412-835-5243,169700,271205855,44750500,38400,315994755,0.52,823,9
Borough of Edgeworth,2,Suzanne Filiaggi,37,44,18,Quaker Valley,John Burlett,Shayne Quinn,Quaker Valley Ambulance Authority,NA,QUAKER VALLEY,"Ellen Politi, Manager","301 Beaver RoadSewickley, PA  15143",412-835-5243,450000,393481972,57400000,54900,450936872,1.49,824,32
Borough of Elizabeth,9,Robert J. Macey,45,39,18,Steel Rivers COG,Timothy Butler,Chad Rager,Elizabeth Township Area EMS,Elizabeth Borough Municipal Authority,ELIZABETH-FORWARD,"Pam Sharp, Secretary","206 Third AvenueElizabeth, PA  15037",412-384-7771,54100,46634515,6058600,321100,53014215,0.52,825,16
Elizabeth Township,9,Robert J. Macey,45,39,18,South Hills Area,David Kerestes,Five Fire Chiefs,Southeast Regional EMS,NA,ELIZABETH-FORWARD,"Joelle Whiteman, Manager","522 Rock Run RoadElizabeth, PA  15037",412-751-2880,87600,660341737,71154100,312200,731808037,22.08,908,16
Borough of Emsworth,1,Jack Betkowski,37,45,14,Quaker Valley,Ohio Township Police,Jim Kohl,Northwest EMS,Alcosan,AVONWORTH,"Cathy Jones, Secretary","171 Center AvenuePittsburgh, PA  15202",412-761-1161,99850,122623950,15666800,43700,138334450,0.6,826,2
Borough of Etna,3,Anita Prizio,38,21,14,North Hills,Timothy Rodman,Greg Porter,Shaler-Hampton EMS,Alcosan,SHALER AREA,"Mary Ellen Ramage, Secretary/Manager","437 Butler StreetPittsburgh, PA  15223",412-781-6417,58500,126498480,6589400,97200,133185080,0.81,827,34
Fawn Township,7,Nicholas Futules,38,54,12,Allegheny Valley North,Tim Mayberry,"Selfridge, Ewing",Eureka VFD,NA,HIGHLANDS,"Patricia Bryant, Secretary/Treasurer","3054 Howes Run RoadTarentum, PA  15084",724-226-0666,72700,119859160,14611800,128700,134599660,13.23,909,21
Findlay Township,1,Jack Betkowski,37,44,18,South Hills Area,"Jesse J. Lesko, Jr.",Robert Bradburn,North West EMS,NA,WEST ALLEGHENY,"Christopher Caruso, Manager","P.O. Box W 1271 Route 30Clinton, PA  15026",724-695-0521,147000,1420526172,1459143904,1457800,2881127876,32.42,910,43
Borough of Forest Hills,10,DeWitt Walton,43,34,14,Turtle Creek Valley,Charles Williams,Rick Colella,Woodland Hills EMS,Alcosan,WOODLAND HILLS,"Seth Abrams, Manager","4400 Greensburg PikePittsburgh, PA 15221",412-351-7330,104050,382623803,21315800,8700,403948303,1.52,828,9
Forward Township,9,Robert J. Macey,45,39,18,Steel Rivers COG,NA,Three Fire Chiefs,Jefferson Hills Ambulance Assoc.,NA,ELIZABETH-FORWARD,"Karen Stetor, Secretary","1000 Golden CircleElizabeth, PA  15037",412-384-2321,60300,172766325,10929900,343300,184039525,19.25,911,16
Borough of Fox Chapel,3,Anita Prizio,38,30,12,North Hills,Michael J. Stevens,Willis Humes,Foxwall EMS,Alcosan,FOX CHAPEL AREA,"Julie Bastianini, Manager","401 Fox Chapel RoadPittsburgh, PA  15238",412-963-1100,506300,1239858646,96609500,17000,1336485146,8.5,868,17
Borough of Franklin Park,2,Suzanne Filiaggi,38,28,12,North Hills,William (Bill) Chicots,Aron Leach,McCandless Franklin Park,Alcosan,NORTH ALLEGHENY,"Regis Ebner, Manager","2344 West Ingomar RoadPittsburgh, PA  15237",412-364-4848,279800,1820893562,136557500,15600,1957466662,13.55,884,27
Frazer Township,7,Nicholas Futules,38,33,12,Allegheny Valley North,Terrence Kuhns,Caplan/Gould,East Deer VFD,NA,DEER LAKES,"Lori Ziencik, Secretary/Treasurer",592 Pittsburgh Mills CircleTarentum PA  15084,724-224-8971,70100,150627465,6159200,150400,156937065,10.22,913,12
Borough of Glassport,9,Robert J. Macey,45,38,14,Steel Rivers COG,Clifford LeFever,Bruce Snyir,McKeesport Ambulance Service,MACM,SOUTH ALLEGHENY,"Nancy Piazza-Whaby, Secretary","440 Monongahela AvenueGlassport, PA  15045",412-664-7310,39500,115102185,10449200,109100,125660485,1.63,829,35
Borough of Glenfield,1,Jack Betkowski,37,44,14,Quaker Valley,PA State Police Findlay,"Michael Adams, Emsworth Borough",Quaker Valley Ambulance,NA,QUAKER VALLEY,"Robert Brown, Manager","198 E. Beaver StreetSewickley, PA  15143",412-741-9473,51000,11013750,440200,60300,11514250,0.86,830,32
Borough of Green Tree,12,Robert Palmosina,42,27,14,Char-West,"Lt. Chad Rannigan, Acting Chief of Police",Don Gaupp,Medical Rescue Team South,Alcosan,KEYSTONE OAKS,"Judy Miller, Manager","10 West Manilla AvenuePittsburgh, PA  15220",412-921-1110,143200,578403165,42269200,318600,620990965,2.02,831,22
Hampton Township,3,Anita Prizio,38,30,12,North Hills,Thomas Vulakovich,Michael Piovesan,Shaler-Hampton EMS,NA,HAMPTON,"Ryan Jeroski, Manager","3101 McCully RoadAllison Park, PA  15101",724-731-2300,175000,1828734264,202093200,220100,2031047564,16.05,914,20
Harmar Township,7,Nicholas Futules,38,33,14,Allegheny Valley North,Jason Domaratz,Michael Liko,Lower Valley Ambulance Service,NA,ALLEGHENY VALLEY,NA,"701 Freeport RoadCheswick, PA  15024",724-274-4550,91400,433292178,33603000,298100,467193278,5.86,915,1
Harrison Township,7,Nicholas Futules,38,"33, 54","12, 14",Allegheny Valley North,Brian Turack,Three Fire Chiefs,Citizens Hose Company,NA,HIGHLANDS,"Amy Rockwell, Township Manager","P.O. Box 376Natrona Heights, PA  15065",724-226-1393,75100,507606166,152981500,681300,661268966,7.22,916,21
Borough of Haysville,1,Jack Betkowski,37,44,12,Quaker Valley,PA State Police,Contracted with Sewickley,Quaker Valley Ambulance,NA,QUAKER VALLEY,"Mary Beth Conlin, Secretary/Treasurer","24 River RoadSewickley, PA  15143",412-741-5038,24100,4753400,93000,9300,4855700,0.2,832,32
Borough of Heidelberg,12,Robert Palmosina,42,46,18,South Hills Area,Dennis Dixon,Ryan Pollak,Collier Township EMS,Alcosan,CHARTIERS VALLEY,"Janice  Adamski, Interim Manager","1631 East Railroad StreetHeidelberg, PA  15106",412-276-5653,86200,68126150,2144000,2100,70272250,0.26,833,8
Borough of Homestead,11,Paul Klein,43,34,14,Steel Rivers COG,Vacant,Tim Eads,Munhall Area Prehospital Services,Alcosan,STEEL VALLEY,"Amanda Loutitt, Manager","221 East 7th AvenueHomestead, PA  15120",412-461-1340 x101,20800,163123358,64836100,438400,228397858,0.6,834,38
