municipality,muni_code,value_as_of_date,scraped_at,taxable_value,exempt_value,purta_value,all_real_estate,median_residential_value,scrape_week,taxable_value_wow_change,taxable_value_wow_pct,year,taxable_value_ytd_change,taxable_value_ytd_pct
Aleppo Township,901,2026-01-08,2026-01-13 16:46:00,163301615,84581600,0,247883215,137800,2026-01-16,NA,NA,2026,0,0
Aleppo Township,901,2026-01-23,2026-01-28 12:31:51.319942,163301615,84581600,0,247883215,137800,2026-01-30,0,0,2026,0,0
Baldwin Township,902,2026-01-08,2026-01-13 16:46:06,113283000,3244300,41900,116569200,105750,2026-01-16,NA,NA,2026,0,0
Baldwin Township,902,2026-01-23,2026-01-28 12:31:56.54241,113283000,3244300,41900,116569200,105750,2026-01-30,0,0,2026,0,0
Borough of Aspinwall,801,2026-01-08,2026-01-13 16:46:02,248321338,8615000,3500,256939838,193300,2026-01-16,NA,NA,2026,0,0
Borough of Aspinwall,801,2026-01-23,2026-01-28 12:31:52.614149,248576538,8615000,3500,257195038,193600,2026-01-30,255200,0.1028,2026,255200,0.1028
Borough of Avalon,802,2026-01-08,2026-01-13 16:46:03,194887730,19338500,41400,214267630,84000,2026-01-16,NA,NA,2026,0,0
Borough of Avalon,802,2026-01-23,2026-01-28 12:31:53.959214,194887730,19338500,41400,214267630,84000,2026-01-30,0,0,2026,0,0
Borough of Baldwin,877,2026-01-08,2026-01-13 16:46:04,972957946,84612950,1116838,1058687734,105000,2026-01-16,NA,NA,2026,0,0
Borough of Baldwin,877,2026-01-23,2026-01-28 12:31:55.254003,972665346,84905550,1116838,1058687734,105000,2026-01-30,-292600,-0.0301,2026,-292600,-0.0301
Borough of Bell Acres,883,2026-01-08,2026-01-13 16:46:07,199154633,18279900,11400,217445933,155600,2026-01-16,NA,NA,2026,0,0
Borough of Bell Acres,883,2026-01-23,2026-01-28 12:31:57.881813,198754633,18679900,11400,217445933,155300,2026-01-30,-400000,-0.2008,2026,-400000,-0.2008
Borough of Bellevue,803,2026-01-08,2026-01-13 16:46:08,330363113,46061200,153900,376578213,100000,2026-01-16,NA,NA,2026,0,0
